trial_id,trial_type,condition,frame_idx,t_ms,n_dets,n_tracks,det_track_ms,embed_ms,match_ms,total_ms,new_tracks,lost_tracks,unknown_tracks
1771264251848_interfere,interfere,near/dim,1,1771264252034,0,0,77.249,0.0,0.0,79.249,0,0,0
1771264251848_interfere,interfere,near/dim,2,1771264252121,0,0,69.136,0.0,0.0,71.639,0,0,0
1771264251848_interfere,interfere,near/dim,3,1771264252201,0,0,64.816,0.0,0.0,66.816,0,0,0
1771264251848_interfere,interfere,near/dim,4,1771264252305,1,0,63.361,23.566,0.0,88.927,0,0,1
1771264251848_interfere,interfere,near/dim,5,1771264252408,1,0,62.783,23.041,1.004,89.84,0,0,1
1771264251848_interfere,interfere,near/dim,6,1771264252526,2,0,61.293,40.564,1.0,104.856,0,0,1
1771264251848_interfere,interfere,near/dim,7,1771264252646,2,2,64.414,37.589,0.0,105.009,2,0,2
1771264251848_interfere,interfere,near/dim,8,1771264252770,2,2,67.361,41.787,0.0,111.653,0,0,2
1771264251848_interfere,interfere,near/dim,9,1771264252901,2,2,76.425,38.561,0.0,118.494,0,0,2
1771264251848_interfere,interfere,near/dim,10,1771264253029,2,2,67.984,41.221,0.0,112.707,0,0,2
1771264251848_interfere,interfere,near/dim,11,1771264253138,1,1,68.285,25.544,0.0,96.827,0,1,1
1771264251848_interfere,interfere,near/dim,12,1771264253250,1,1,69.849,25.484,1.503,98.84,0,0,1
1771264251848_interfere,interfere,near/dim,13,1771264253365,1,1,72.748,25.05,0.0,100.797,0,0,1
1771264251848_interfere,interfere,near/dim,14,1771264253475,1,1,68.837,23.059,0.0,95.416,0,0,1
1771264251848_interfere,interfere,near/dim,15,1771264253588,1,1,73.411,23.051,0.0,99.458,0,0,1
1771264251848_interfere,interfere,near/dim,16,1771264253698,1,0,65.347,25.498,0.0,93.351,0,1,1
1771264251848_interfere,interfere,near/dim,17,1771264253799,1,0,63.146,24.029,0.0,88.679,0,0,1
1771264251848_interfere,interfere,near/dim,18,1771264253906,1,1,67.621,25.619,1.0,95.24,1,0,1
1771264251848_interfere,interfere,near/dim,19,1771264254012,1,1,68.254,22.631,0.0,94.392,0,0,1
1771264251848_interfere,interfere,near/dim,20,1771264254123,1,1,70.318,25.892,0.997,99.206,0,0,1
1771264251848_interfere,interfere,near/dim,21,1771264254227,1,0,66.212,23.038,0.0,91.249,0,1,0
1771264251848_interfere,interfere,near/dim,22,1771264254332,1,0,65.063,23.054,0.0,91.127,0,0,1
1771264251848_interfere,interfere,near/dim,23,1771264254452,2,0,63.127,39.866,0.0,107.015,0,0,1
1771264251848_interfere,interfere,near/dim,24,1771264254531,0,0,64.621,0.0,0.0,67.13,0,0,0
1771264251848_interfere,interfere,near/dim,25,1771264254615,0,0,65.188,0.0,0.0,67.179,0,0,0
1771264251848_interfere,interfere,near/dim,26,1771264254692,0,0,63.246,0.0,0.0,64.25,0,0,0
1771264251848_interfere,interfere,near/dim,27,1771264254771,0,0,62.464,0.0,0.0,64.97,0,0,0
1771264251848_interfere,interfere,near/dim,28,1771264254853,0,0,65.193,0.0,0.0,66.193,0,0,0
1771264251848_interfere,interfere,near/dim,29,1771264254930,0,0,61.657,0.0,0.0,64.162,0,0,0
1771264251848_interfere,interfere,near/dim,30,1771264255008,0,0,63.857,0.0,0.0,65.857,0,0,0
1771264251848_interfere,interfere,near/dim,31,1771264255117,1,0,69.55,25.067,0.0,97.618,0,0,1
1771264251848_interfere,interfere,near/dim,32,1771264255222,1,0,61.905,24.75,0.0,90.162,0,0,1
1771264251848_interfere,interfere,near/dim,33,1771264255324,0,0,84.404,0.0,0.0,85.404,0,0,0
1771264251848_interfere,interfere,near/dim,34,1771264255425,1,0,63.17,22.563,0.0,89.734,0,0,0
1771264251848_interfere,interfere,near/dim,35,1771264255525,1,0,61.748,23.166,0.0,86.914,0,0,1
1771264251848_interfere,interfere,near/dim,36,1771264255637,1,1,67.622,25.054,0.0,95.676,1,0,1
1771264251848_interfere,interfere,near/dim,37,1771264255749,1,1,70.91,25.532,0.0,99.447,0,0,1
1771264251848_interfere,interfere,near/dim,38,1771264255832,0,0,70.082,0.0,0.0,72.096,0,1,0
1771264251848_interfere,interfere,near/dim,39,1771264255914,0,0,68.002,0.0,0.0,70.003,0,0,0
1771264251848_interfere,interfere,near/dim,40,1771264255995,0,0,65.288,0.0,0.0,67.286,0,0,0
1771264251848_interfere,interfere,near/dim,41,1771264256105,1,1,70.237,23.049,1.0,96.289,1,0,1
1771264251848_interfere,interfere,near/dim,42,1771264256188,0,0,66.525,0.0,0.0,68.522,0,1,0
1771264251848_interfere,interfere,near/dim,43,1771264256298,1,1,73.217,22.633,1.002,98.355,1,0,1
1771264251848_interfere,interfere,near/dim,44,1771264256402,1,0,65.194,23.554,0.0,92.256,0,1,1
1771264251848_interfere,interfere,near/dim,45,1771264256481,0,0,61.606,0.0,0.0,63.11,0,0,0
1771264251848_interfere,interfere,near/dim,46,1771264256759,1,0,178.423,82.701,0.0,263.63,0,0,1
1771264251848_interfere,interfere,near/dim,47,1771264256922,0,0,143.838,0.0,0.0,146.345,0,0,0
1771264251848_interfere,interfere,near/dim,48,1771264257000,0,0,62.836,0.0,0.0,63.839,0,0,0
1771264251848_interfere,interfere,near/dim,49,1771264257079,0,0,63.115,0.0,0.0,64.625,0,0,0
1771264251848_interfere,interfere,near/dim,50,1771264257184,1,0,64.612,23.545,0.0,90.162,0,0,1
